census_id,state_abbreviation,county_name,eligible_locations,reserve_price
211779609001,KY,Muhlenberg,159,130508
211779609002,KY,Muhlenberg,270,161090
211799301001,KY,Nelson,433,115377
211799301002,KY,Nelson,213,48442
211799301003,KY,Nelson,66,31013
211799302001,KY,Nelson,44,6722
211799302002,KY,Nelson,89,13019
211799302003,KY,Nelson,130,17448
211799303011,KY,Nelson,72,7678
211799303012,KY,Nelson,86,3187
211799303021,KY,Nelson,1,107
211799303022,KY,Nelson,72,13761
211799303023,KY,Nelson,275,17599
211799303031,KY,Nelson,31,3582
211799303032,KY,Nelson,44,2247
211799304001,KY,Nelson,47,11613
211799304002,KY,Nelson,114,20119
211799304003,KY,Nelson,2,502
211799305001,KY,Nelson,155,70906
211799305002,KY,Nelson,51,6008
211799306001,KY,Nelson,545,234162
211799306002,KY,Nelson,228,119527
211799307001,KY,Nelson,12,3506
211799307002,KY,Nelson,190,100609
211799307003,KY,Nelson,9,5082
211819601001,KY,Nicholas,82,25179
211819601002,KY,Nicholas,435,288718
211819602001,KY,Nicholas,5,1429
211819602002,KY,Nicholas,20,10945
211819602004,KY,Nicholas,501,303703
211839201001,KY,Ohio,310,254968
211839201002,KY,Ohio,105,51741
211839201003,KY,Ohio,83,86371
211839202001,KY,Ohio,498,68694
211839202002,KY,Ohio,340,103244
211839202003,KY,Ohio,421,166383
211839203001,KY,Ohio,585,264513
211839203002,KY,Ohio,13,16325
211839204001,KY,Ohio,377,217190
211839204002,KY,Ohio,508,274458
211839205001,KY,Ohio,454,180927
211839205002,KY,Ohio,239,136043
211839206001,KY,Ohio,102,65831
211839206002,KY,Ohio,26,10350
211839207001,KY,Ohio,296,273088
211850301001,KY,Oldham,59,10788
211850301002,KY,Oldham,163,29420
211850302001,KY,Oldham,1,252
211850303012,KY,Oldham,3,2322
211850307011,KY,Oldham,3,1137
211850307021,KY,Oldham,47,3862
211850307022,KY,Oldham,6,369
211850308023,KY,Oldham,3,2867
211879701001,KY,Owen,59,43291
211879701002,KY,Owen,17,10255
211879701003,KY,Owen,112,24206
211879702001,KY,Owen,91,23089
211879702002,KY,Owen,17,7740
211879702003,KY,Owen,310,93395
211879702004,KY,Owen,5,1239
211879703001,KY,Owen,17,9870
211879703002,KY,Owen,84,53191
211919301001,KY,Pendleton,138,37250
211919301002,KY,Pendleton,137,60457
211919301003,KY,Pendleton,262,98538
211919301004,KY,Pendleton,134,63077
211919302001,KY,Pendleton,64,26408
211919302002,KY,Pendleton,39,15988
211919303001,KY,Pendleton,18,19611
211919303002,KY,Pendleton,16,17606
211939705002,KY,Perry,6,982
211939705003,KY,Perry,4,187
211939705004,KY,Perry,39,24746
211939708002,KY,Perry,19,11518
211939709002,KY,Perry,1,1811
211939710002,KY,Perry,11,1625
211959301001,KY,Pike,1,760
211959301002,KY,Pike,112,41414
211959301003,KY,Pike,48,2404
211959302001,KY,Pike,38,2667
211959302002,KY,Pike,19,7754
211959302003,KY,Pike,74,6256
211959302004,KY,Pike,120,6831
211959303001,KY,Pike,20,1696
211959303002,KY,Pike,10,942
211959303003,KY,Pike,53,5317
211959303004,KY,Pike,45,943
211959304001,KY,Pike,3,96
211959304003,KY,Pike,89,3599
211959305001,KY,Pike,14,1015
211959305002,KY,Pike,65,17834
211959306001,KY,Pike,38,3494
211959306002,KY,Pike,48,3650
211959306003,KY,Pike,31,1558
211959307001,KY,Pike,9,1173
211959307002,KY,Pike,16,2695
211959308001,KY,Pike,28,3278
211959308002,KY,Pike,35,3619
211959308003,KY,Pike,45,6818
211959308004,KY,Pike,18,1867
211959309001,KY,Pike,243,31261
211959309002,KY,Pike,206,26348
211959310001,KY,Pike,203,44239
211959310002,KY,Pike,216,15256
211959310003,KY,Pike,177,59434
211959311001,KY,Pike,174,42071
211959311002,KY,Pike,13,907
211959311003,KY,Pike,166,17153
211959311004,KY,Pike,25,8712
211959311005,KY,Pike,49,5539
211959312001,KY,Pike,37,9579
211959312002,KY,Pike,38,2910
211959312003,KY,Pike,8,1197
211959312004,KY,Pike,2,61
211959313001,KY,Pike,38,9241
211959313002,KY,Pike,32,5563
211959315001,KY,Pike,1,73
211959315002,KY,Pike,7,1295
211959315004,KY,Pike,14,2589
211959316001,KY,Pike,8,2164
211959316002,KY,Pike,23,8234
211959317001,KY,Pike,36,3310
211959317002,KY,Pike,104,49975
211959317003,KY,Pike,4,244
211959317004,KY,Pike,18,3618
211959318001,KY,Pike,17,1938
211959318002,KY,Pike,77,22222
211959318003,KY,Pike,200,100726
211959319001,KY,Pike,184,13137
211959319002,KY,Pike,278,80118
211959319003,KY,Pike,282,55728
211959319004,KY,Pike,147,64731
211979701001,KY,Powell,745,262872
211979701002,KY,Powell,1,322
211979701003,KY,Powell,1,339
211979701004,KY,Powell,6,935
211979701005,KY,Powell,83,33990
211979701006,KY,Powell,378,232491
211979702001,KY,Powell,40,3252
211979702002,KY,Powell,114,11672
211979702003,KY,Powell,13,6593
211979702004,KY,Powell,534,56110
211979702005,KY,Powell,372,84890
211999301001,KY,Pulaski,1,42
211999301002,KY,Pulaski,5,1536
211999301003,KY,Pulaski,68,33339
211999301004,KY,Pulaski,46,11970
211999302002,KY,Pulaski,11,6995
211999303001,KY,Pulaski,61,17893
211999303002,KY,Pulaski,22,2704
211999303003,KY,Pulaski,48,16173
211999303004,KY,Pulaski,60,32709
211999304011,KY,Pulaski,6,365
211999306004,KY,Pulaski,2,372
211999308001,KY,Pulaski,10,2677
211999308002,KY,Pulaski,56,12757
211999309001,KY,Pulaski,38,19747
211999309002,KY,Pulaski,41,26936
211999310001,KY,Pulaski,83,33201
211999310002,KY,Pulaski,37,12388
211999311012,KY,Pulaski,58,1025
211999311023,KY,Pulaski,115,8114
212019701001,KY,Robertson,232,216311
212019701002,KY,Robertson,291,242692
212039501001,KY,Rockcastle,6,2417
212039501002,KY,Rockcastle,32,3417
212039502001,KY,Rockcastle,28,25268
212039502002,KY,Rockcastle,9,3328
212039502003,KY,Rockcastle,10,599
212039502005,KY,Rockcastle,1,2550
212039503001,KY,Rockcastle,50,59693
212039503002,KY,Rockcastle,14,8548
212039503003,KY,Rockcastle,24,6435
212039504001,KY,Rockcastle,45,57965
212039504002,KY,Rockcastle,17,5542
212039504003,KY,Rockcastle,47,21885
212059501001,KY,Rowan,6,1588
212059501002,KY,Rowan,6,6339
212059501003,KY,Rowan,35,15298
212059502006,KY,Rowan,35,11220
212059503003,KY,Rowan,4,117
212059503004,KY,Rowan,12,4931
212059504002,KY,Rowan,2,2110
212090403012,KY,Scott,8,1924
212090406013,KY,Scott,11,3212
212139701001,KY,Simpson,448,132605
212139701002,KY,Simpson,363,148585
212139702001,KY,Simpson,5,2022
212139702003,KY,Simpson,514,88565
212139703002,KY,Simpson,29,2810
212139703003,KY,Simpson,48,9986
212139703004,KY,Simpson,449,248210
212139704001,KY,Simpson,9,917
212139704002,KY,Simpson,28,2212
212139704003,KY,Simpson,9,3163
212139704004,KY,Simpson,439,244160
212139704005,KY,Simpson,175,41149
212150802003,KY,Spencer,1,2469
212179201001,KY,Taylor,23,14285
212179201002,KY,Taylor,148,38543
212179202001,KY,Taylor,57,25964
212179202002,KY,Taylor,254,150586
212179202003,KY,Taylor,95,35668
212179203001,KY,Taylor,12,2540
212179203002,KY,Taylor,2,294
212179203003,KY,Taylor,3,694
212179203004,KY,Taylor,1,78
212179204001,KY,Taylor,154,15819
212179204003,KY,Taylor,3,198
212179204005,KY,Taylor,14,1077
212179205001,KY,Taylor,32,5711
212179205002,KY,Taylor,28,6445
212179205003,KY,Taylor,20,4257
212179205004,KY,Taylor,19,5843
212179205005,KY,Taylor,13,2381
212179205006,KY,Taylor,2,61
212199501001,KY,Todd,533,226470
212199501002,KY,Todd,572,347639
212199502001,KY,Todd,315,127381
212199502002,KY,Todd,124,39322
212199502003,KY,Todd,18,25154
212199502004,KY,Todd,124,68129
212199503001,KY,Todd,252,111393
212199503002,KY,Todd,214,85693
212199504001,KY,Todd,162,151167
212219701001,KY,Trigg,205,72745
212219701002,KY,Trigg,475,188816
212219702001,KY,Trigg,45,26841
212219702002,KY,Trigg,38,17386
212219702003,KY,Trigg,16,2261
212219702004,KY,Trigg,348,211656
212219703001,KY,Trigg,6,293
212219703002,KY,Trigg,21,3803
212219703003,KY,Trigg,490,222741
212219801001,KY,Trigg,8,8760
212219802001,KY,Trigg,5,7889
212231001001,KY,Trimble,197,65313
212231001002,KY,Trimble,12,3227
212231001003,KY,Trimble,117,38648
212231002001,KY,Trimble,84,75071
212231002002,KY,Trimble,321,138756
212231002003,KY,Trimble,27,27368
212259501001,KY,Union,74,47119
212259501002,KY,Union,115,75606
212259502011,KY,Union,213,167687
212259502014,KY,Union,2,1667
212259502021,KY,Union,357,281586
212259502022,KY,Union,33,12423
212259503001,KY,Union,359,248100
212259503002,KY,Union,124,92587
212259503004,KY,Union,21,39560
212259503005,KY,Union,1,223
212270111003,KY,Warren,40,2891
212270113001,KY,Warren,1,588
212270115001,KY,Warren,413,62350
212270115002,KY,Warren,296,48718
212270115003,KY,Warren,113,24000
212270116001,KY,Warren,3,2798
212270116002,KY,Warren,7,4473
212270116003,KY,Warren,127,17148
212270116004,KY,Warren,16,4314
212270116005,KY,Warren,29,11477
212270117001,KY,Warren,370,75103
212270117002,KY,Warren,94,21445
212270117004,KY,Warren,2,231
212270118001,KY,Warren,125,40113
212270118002,KY,Warren,143,83195
212270118003,KY,Warren,131,99008
212270118004,KY,Warren,91,26830
212270118005,KY,Warren,204,70762
212270119001,KY,Warren,126,43150
212270119002,KY,Warren,137,34984
212270119003,KY,Warren,216,22099
212299301001,KY,Washington,332,183738
212299301002,KY,Washington,706,249394
212299302001,KY,Washington,920,444668
212299302002,KY,Washington,268,66072
212299302003,KY,Washington,123,16556
212299302004,KY,Washington,78,31956
212299303001,KY,Washington,237,134739
212299303002,KY,Washington,436,297366
212319201001,KY,Wayne,14,3468
212319201002,KY,Wayne,14,1194
212319201003,KY,Wayne,12,2205
212319201004,KY,Wayne,19,4671
212319201005,KY,Wayne,214,32473
212319202001,KY,Wayne,68,1009
212319202002,KY,Wayne,1,186
212319202004,KY,Wayne,10,1268
212319203001,KY,Wayne,2,334
212319203002,KY,Wayne,10,265
212319203003,KY,Wayne,3,1568
212319204001,KY,Wayne,89,12151
212319204002,KY,Wayne,87,10695
212319204003,KY,Wayne,42,23763
212319207001,KY,Wayne,123,91046
212319207002,KY,Wayne,224,151722
212339601001,KY,Webster,237,126482
212339601002,KY,Webster,141,85978
212339601003,KY,Webster,43,16972
212339601004,KY,Webster,558,336431
212339602001,KY,Webster,400,252822
212339602002,KY,Webster,274,189985
212339603001,KY,Webster,174,122511
212339603002,KY,Webster,121,153716
212339604001,KY,Webster,58,53010
212339604002,KY,Webster,79,66240
212339604005,KY,Webster,51,16401
212359204001,KY,Whitley,18,22593
212359204003,KY,Whitley,3,855
212359205001,KY,Whitley,40,14431
212359205004,KY,Whitley,9,3429
212359205005,KY,Whitley,48,20692
212359206005,KY,Whitley,40,67155
212359207001,KY,Whitley,6,4432
212359207002,KY,Whitley,44,9450
212359207003,KY,Whitley,32,4253
212359207004,KY,Whitley,26,5958
212359207005,KY,Whitley,54,39001
212359208001,KY,Whitley,49,10644
212359208002,KY,Whitley,108,47842
212390502001,KY,Woodford,33,9280
212390502002,KY,Woodford,29,3847
212390503001,KY,Woodford,27,8187
212390504001,KY,Woodford,6,1998
212390504002,KY,Woodford,15,6596
220019601002,LA,Acadia,35,4932
220019601003,LA,Acadia,3,281
220019602001,LA,Acadia,419,131315
220019602002,LA,Acadia,147,28861
220019602003,LA,Acadia,593,252153
220019603001,LA,Acadia,232,91832
220019603002,LA,Acadia,233,65741
220019603003,LA,Acadia,57,2216
220019604001,LA,Acadia,461,114414
220019604002,LA,Acadia,60,10548
220019604003,LA,Acadia,309,122577
220019604004,LA,Acadia,318,89499
220019605001,LA,Acadia,151,25897
220019605002,LA,Acadia,156,22356
220019605003,LA,Acadia,113,5764
220019606001,LA,Acadia,74,7010
220019607001,LA,Acadia,25,8822
220019607004,LA,Acadia,1,306
220019608001,LA,Acadia,29,25554
220019609001,LA,Acadia,1,287
220019609003,LA,Acadia,1,219
220019610001,LA,Acadia,2,108
220019610002,LA,Acadia,3,366
220019610003,LA,Acadia,2,265
220019610004,LA,Acadia,2,940
220019610005,LA,Acadia,27,7892
220019611001,LA,Acadia,45,43592
220019611002,LA,Acadia,207,127552
220019611003,LA,Acadia,152,73405
220019612001,LA,Acadia,123,44971
220019612002,LA,Acadia,264,86235
220019612003,LA,Acadia,281,75958
220039501001,LA,Allen,680,355425
220039501002,LA,Allen,83,59799
220039501003,LA,Allen,361,236694
220039502003,LA,Allen,158,19520
220039502004,LA,Allen,1,579
220039503001,LA,Allen,23,4460
220039503002,LA,Allen,3,83
220039504001,LA,Allen,6,493
220039504002,LA,Allen,301,159581
220039504003,LA,Allen,6,1338
220039504004,LA,Allen,371,314321
220039505001,LA,Allen,5,705
220039505002,LA,Allen,32,1386
220039505003,LA,Allen,556,93676
220039505004,LA,Allen,587,204728
220050303001,LA,Ascension,84,43936
220050309002,LA,Ascension,21,7776
220050309003,LA,Ascension,1,343
220050310002,LA,Ascension,1,119
220070501001,LA,Assumption,34,36652
220070501003,LA,Assumption,1,2670
220070503003,LA,Assumption,41,30089
220070504002,LA,Assumption,1,126
220070504003,LA,Assumption,9,6921
220070505001,LA,Assumption,26,42309
220070506002,LA,Assumption,2,209
220090301001,LA,Avoyelles,787,492154
220090301002,LA,Avoyelles,642,96356
220090302001,LA,Avoyelles,664,270919
220090302002,LA,Avoyelles,280,53892
220090303001,LA,Avoyelles,349,34450
220090303002,LA,Avoyelles,604,78413
220090304001,LA,Avoyelles,48,4763
